,Product Variant SKU,Total Quantity Sold,Cost,Price,ending_quantity,Daily Sales Rate,Days of Inventory,Total Cost,Gross Revenue,Target Sale Per Unit,Order Date,Order Amount,Incoming order,Purchase Amount,Real Cost
0,B-BL,43,2.17,18.95,39,1.433333333,27.20930233,93,815,50,,,0,11,24
1,B-BS,33,1.61,14.95,120,1.1,109.0909091,53,493,38,,,0,0,0
2,B-NL,56,2.17,18.95,136,1.866666667,72.85714286,122,1061,65,,,0,0,0
3,B-NS,50,1.61,14.95,177,1.666666667,106.2,80,748,58,,,0,0,0
4,B-PL,44,2.17,18.95,14,1.466666667,9.545454545,95,834,51,,,0,37,80
5,B-PS,50,1.61,14.95,138,1.666666667,82.8,80,748,58,,,0,0,0
6,FB-NXL,392,3.27,22.95,0,13.06666667,0,1282,8996,457,5/19/24,200,200,257,840
7,FB-NL,238,1.58,18.95,230,7.933333333,28.99159664,376,4510,278,,,0,48,76
8,FB-NS,155,1.3,14.95,148,5.166666667,28.64516129,202,2317,181,,,0,33,43
9,FB-PXL,321,3.27,22.95,56,10.7,5.23364486,1050,7367,374,5/19/24,200,200,118,386
10,FB-PL,235,1.58,18.95,178,7.833333333,22.72340426,371,4453,274,,,0,96,152
11,FB-PS,154,1.3,14.95,85,5.133333333,16.55844156,200,2302,180,,,0,95,124
12,FD-N,47,2.86,13.95,410,1.566666667,261.7021277,134,656,55,,,0,0,0
13,FD-P,56,2.86,13.95,401,1.866666667,214.8214286,160,781,65,,,0,0,0
14,FDN-N,301,2.33,16.95,819,10.03333333,81.62790698,701,5102,351,,,0,0,0
15,FDN-P,347,2.33,16.95,691,11.56666667,59.74063401,809,5882,405,,,0,0,0
16,FS-NL,119,3.89,22.95,218,3.966666667,54.95798319,463,2731,139,,,0,0,0
17,FS-NS,127,3.51,18.95,408,4.233333333,96.37795276,446,2407,148,,,0,0,0
18,FS-PL,134,3.89,22.95,348,4.466666667,77.91044776,521,3075,156,,,0,0,0
19,FS-PS,134,3.51,18.95,336,4.466666667,75.2238806,470,2539,156,,,0,0,0
20,FBX-N,89,3.57,22.95,209,2.966666667,70.4494382,318,2043,104,,,0,0,0
21,FBX-P,108,3.57,22.95,354,3.6,98.33333333,386,2479,126,,,0,0,0
22,FST-C,35,2.7,18.95,165,1.166666667,141.4285714,94,663,41,,,0,0,0
23,FST-N,30,2.7,18.95,167,1,167,81,568,35,,,0,0,0
24,F-BE90,64,2.1,14.95,213,2.133333333,99.84375,134,957,75,,,0,0,0
25,F-CH90,44,2.1,14.95,176,1.466666667,120,92,658,51,,,0,0,0
26,F-DU90,41,2.1,14.95,207,1.366666667,151.4634146,86,613,48,,,0,0,0
27,F-LI90,45,2.1,14.95,186,1.5,124,94,673,52,,,0,0,0
28,F-MX90,1008,2.1,14.95,785,33.6,23.36309524,2117,15070,1176,,,0,391,821
29,F-BE,13,1.8,12.95,102,0.433333333,235.3846154,23,168,15,,,0,0,0
30,F-CH,10,1.8,12.95,110,0.333333333,330,18,130,12,,,0,0,0
31,F-DU,7,1.8,12.95,47,0.233333333,201.4285714,13,91,8,,,0,0,0
32,F-LI,0,1.8,12.95,7,0,inf,0,0,0,,,0,0,0
33,F-MX,248,1.8,12.95,793,8.266666667,95.92741935,446,3212,289,,,0,0,0
34,F-PB,46,1.8,12.95,132,1.533333333,86.08695652,83,596,54,,,0,0,0