,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU,F-MX
2024-07-28,0.0,596.7,300.3666666666667,36.53333333333333,586.3,261.3666666666667,262.5,96.56666666666666,160.4,71.6,169.16666666666666,141.06666666666666,0,0,66.23333333333333,66.3,0,36.03333333333333,6.333333333333333,17.366666666666667,0
2024-07-29,0.0,583.4000000000001,293.73333333333335,1.0666666666666629,573.5999999999999,252.73333333333335,255.0,89.13333333333333,152.8,62.199999999999996,162.33333333333331,134.13333333333333,0,0,64.46666666666667,64.6,0,35.06666666666666,5.666666666666666,16.733333333333334,0
2024-07-30,0.0,570.1000000000001,287.1,0.0,560.8999999999999,244.10000000000002,247.5,81.69999999999999,145.20000000000002,52.8,155.49999999999997,127.19999999999999,0,0,62.7,62.89999999999999,0,34.099999999999994,4.999999999999999,16.1,0
2024-07-31,0.0,556.8000000000002,280.4666666666667,0.0,548.1999999999998,235.4666666666667,240.0,74.26666666666665,137.60000000000002,43.4,148.66666666666663,120.26666666666665,0,0,60.93333333333334,61.19999999999999,0,33.133333333333326,4.333333333333332,15.466666666666669,0
2024-08-01,0.0,543.5000000000002,273.83333333333337,0.0,535.4999999999998,226.83333333333337,232.5,66.83333333333331,130.00000000000003,34.0,141.8333333333333,113.33333333333331,0,0,59.16666666666667,59.499999999999986,0,32.16666666666666,3.6666666666666656,14.833333333333336,0
2024-08-02,0.0,530.2000000000003,267.20000000000005,0.0,522.7999999999997,218.20000000000005,225.0,59.39999999999998,122.40000000000003,24.6,134.99999999999994,106.39999999999998,0,0,57.400000000000006,57.79999999999998,0,31.199999999999992,2.999999999999999,14.200000000000003,0
2024-08-03,0.0,516.9000000000003,260.5666666666667,0.0,510.09999999999974,209.56666666666672,217.5,51.96666666666664,114.80000000000004,15.200000000000001,128.1666666666666,99.46666666666664,0,0,55.63333333333334,56.09999999999998,0,30.233333333333327,2.3333333333333326,13.56666666666667,0
2024-08-04,0.0,503.6000000000003,253.9333333333334,0.0,497.39999999999975,200.9333333333334,210.0,44.5333333333333,107.20000000000005,5.800000000000001,121.33333333333327,92.5333333333333,0,0,53.866666666666674,54.39999999999998,0,29.266666666666662,1.666666666666666,12.933333333333337,0
2024-08-05,0.0,490.3000000000003,247.30000000000007,0.0,484.69999999999976,192.30000000000007,202.5,37.099999999999966,99.60000000000005,0.0,114.49999999999994,85.59999999999997,0,0,52.10000000000001,52.699999999999974,0,28.299999999999997,0.9999999999999994,12.300000000000004,0
2024-08-06,0.0,477.0000000000003,240.66666666666674,0.0,471.9999999999998,183.66666666666674,195.0,29.666666666666632,92.00000000000006,0.0,107.66666666666661,78.66666666666663,0,0,50.33333333333334,50.99999999999997,0,27.333333333333332,0.3333333333333328,11.666666666666671,0
2024-08-07,0.0,463.7000000000003,234.03333333333342,0.0,459.2999999999998,175.03333333333342,187.5,22.2333333333333,84.40000000000006,0.0,100.83333333333329,71.73333333333329,0,0,48.56666666666668,49.29999999999997,0,26.366666666666667,0.0,11.033333333333339,0
2024-08-08,0.0,450.40000000000026,227.4000000000001,0.0,446.5999999999998,166.4000000000001,180.0,14.799999999999965,76.80000000000007,0.0,93.99999999999996,64.79999999999995,0,0,46.80000000000001,47.599999999999966,0,25.400000000000002,0.0,10.400000000000006,0
2024-08-09,0.0,437.10000000000025,220.76666666666677,0.0,433.8999999999998,157.76666666666677,172.5,7.366666666666632,69.20000000000007,0.0,87.16666666666663,57.86666666666662,0,0,45.033333333333346,45.89999999999996,0,24.433333333333337,0.0,9.766666666666673,0
2024-08-10,0.0,423.80000000000024,214.13333333333344,0.0,421.1999999999998,149.13333333333344,165.0,0.0,61.60000000000007,0.0,80.3333333333333,50.93333333333328,0,0,43.26666666666668,44.19999999999996,0,23.466666666666672,0.0,9.13333333333334,0
2024-08-11,0.0,410.5000000000002,207.5000000000001,0.0,408.49999999999983,140.5000000000001,157.5,0.0,54.00000000000007,0.0,73.49999999999997,43.99999999999994,0,0,41.500000000000014,42.49999999999996,0,22.500000000000007,0.0,8.500000000000007,0
2024-08-12,0.0,397.2000000000002,200.8666666666668,0.0,395.79999999999984,131.8666666666668,150.0,0.0,46.40000000000007,0.0,66.66666666666664,37.066666666666606,0,0,39.73333333333335,40.799999999999955,0,21.533333333333342,0.0,7.866666666666674,0
2024-08-13,0.0,383.9000000000002,194.23333333333346,0.0,383.09999999999985,123.23333333333346,142.5,0.0,38.80000000000007,0.0,59.83333333333331,30.133333333333272,0,0,37.96666666666668,39.09999999999995,0,20.566666666666677,0.0,7.233333333333341,0
2024-08-14,0.0,370.6000000000002,187.60000000000014,0.0,370.39999999999986,114.60000000000014,135.0,0.0,31.200000000000067,0.0,52.99999999999997,23.19999999999994,0,0,36.20000000000002,37.39999999999995,0,19.600000000000012,0.0,6.6000000000000085,0
2024-08-15,871.9666666666667,1057.3000000000002,880.9666666666668,864.5333333333333,957.6999999999998,805.9666666666668,127.5,0.0,523.6,490.6,346.1666666666667,316.2666666666666,0,0,34.43333333333335,35.699999999999946,0,18.633333333333347,0.0,5.966666666666676,0
2024-08-16,843.9333333333334,1044.0000000000002,874.3333333333335,829.0666666666666,944.9999999999998,797.3333333333335,120.0,0.0,516.0,481.20000000000005,339.33333333333337,309.33333333333326,0,0,32.666666666666686,33.99999999999994,0,17.666666666666682,0.0,5.333333333333343,0
2024-08-17,815.9000000000001,1030.7000000000003,867.7000000000002,793.5999999999999,932.2999999999997,788.7000000000002,112.5,0.0,508.4,471.80000000000007,332.50000000000006,302.3999999999999,0,0,30.90000000000002,32.29999999999994,0,16.700000000000017,0.0,4.70000000000001,0
2024-08-18,787.8666666666668,1017.4000000000003,861.0666666666668,758.1333333333332,919.5999999999997,780.0666666666668,105.0,0.0,500.79999999999995,462.4000000000001,325.66666666666674,295.4666666666666,0,0,29.133333333333354,30.59999999999994,0,15.73333333333335,0.0,4.066666666666677,0
2024-08-19,759.8333333333335,1004.1000000000004,854.4333333333335,722.6666666666665,906.8999999999996,771.4333333333335,97.5,0.0,493.19999999999993,453.0000000000001,318.8333333333334,288.53333333333325,0,0,27.36666666666669,28.89999999999994,0,14.766666666666683,0.0,3.433333333333344,0
2024-08-20,731.8000000000002,990.8000000000004,847.8000000000002,687.1999999999998,894.1999999999996,762.8000000000002,90.0,0.0,485.5999999999999,443.60000000000014,312.0000000000001,281.5999999999999,0,0,25.600000000000023,27.199999999999942,0,13.800000000000017,0.0,2.8000000000000105,0
2024-08-21,703.7666666666669,977.5000000000005,841.1666666666669,651.7333333333331,881.4999999999995,754.1666666666669,82.5,0.0,477.9999999999999,434.20000000000016,305.1666666666668,274.6666666666666,0,0,23.833333333333357,25.499999999999943,0,12.83333333333335,0.0,2.166666666666677,0
2024-08-22,675.7333333333336,964.2000000000005,834.5333333333335,616.2666666666664,868.7999999999995,745.5333333333335,75.0,0.0,470.39999999999986,424.8000000000002,298.3333333333335,267.73333333333323,0,0,22.06666666666669,23.799999999999944,0,11.866666666666683,0.0,1.5333333333333439,0
2024-08-23,647.7000000000003,950.9000000000005,827.9000000000002,580.7999999999997,856.0999999999995,736.9000000000002,67.5,0.0,462.79999999999984,415.4000000000002,291.50000000000017,260.7999999999999,0,0,20.300000000000026,22.099999999999945,0,10.900000000000016,0.0,0.9000000000000106,0
2024-08-24,619.666666666667,937.6000000000006,821.2666666666669,545.333333333333,843.3999999999994,728.2666666666669,60.0,0.0,455.1999999999998,406.0000000000002,284.66666666666686,253.86666666666656,0,0,18.53333333333336,20.399999999999945,0,9.93333333333335,0.0,0.26666666666667727,0
2024-08-25,591.6333333333337,924.3000000000006,814.6333333333336,509.86666666666633,830.6999999999994,719.6333333333336,52.5,0.0,447.5999999999998,396.60000000000025,277.83333333333354,246.93333333333322,0,0,16.766666666666694,18.699999999999946,0,8.966666666666683,0.0,0.0,0
2024-08-26,563.6000000000004,911.0000000000007,808.0000000000002,474.39999999999964,817.9999999999993,711.0000000000002,45.0,0.0,439.9999999999998,387.2000000000003,271.0000000000002,239.9999999999999,0,0,15.000000000000028,16.999999999999947,0,8.000000000000016,0.0,0.0,0
2024-08-27,535.5666666666671,897.7000000000007,801.3666666666669,438.93333333333294,805.2999999999993,702.3666666666669,37.5,0.0,432.39999999999975,377.8000000000003,264.1666666666669,233.06666666666655,0,0,13.233333333333363,15.299999999999947,0,7.033333333333349,0.0,0.0,0
2024-08-28,507.5333333333337,884.4000000000008,794.7333333333336,403.46666666666624,792.5999999999992,693.7333333333336,30.0,0.0,424.7999999999997,368.4000000000003,257.3333333333336,226.1333333333332,0,0,11.466666666666697,13.599999999999948,0,6.066666666666682,0.0,0.0,0
2024-08-29,479.50000000000034,871.1000000000008,788.1000000000003,367.99999999999955,779.8999999999992,685.1000000000003,22.5,0.0,417.1999999999997,359.00000000000034,250.50000000000026,219.19999999999987,0,0,9.700000000000031,11.899999999999949,0,5.100000000000016,0.0,0.0,0
2024-08-30,451.466666666667,857.8000000000009,781.4666666666669,332.53333333333285,767.1999999999991,676.4666666666669,15.0,0.0,409.5999999999997,349.60000000000036,243.6666666666669,212.26666666666654,0,0,7.933333333333365,10.19999999999995,0,4.133333333333349,0.0,0.0,0
2024-08-31,423.4333333333336,844.5000000000009,774.8333333333336,297.06666666666615,754.4999999999991,667.8333333333336,7.5,0.0,401.99999999999966,340.2000000000004,236.83333333333357,205.3333333333332,0,0,6.166666666666698,8.49999999999995,0,3.166666666666682,0.0,0.0,0
2024-09-01,395.40000000000026,831.200000000001,768.2000000000003,261.59999999999945,741.799999999999,659.2000000000003,0.0,0.0,394.39999999999964,330.8000000000004,230.00000000000023,198.39999999999986,0,0,4.400000000000031,6.79999999999995,0,2.2000000000000153,0.0,0.0,0
2024-09-02,367.3666666666669,817.900000000001,761.566666666667,226.13333333333279,729.099999999999,650.566666666667,0.0,0.0,386.7999999999996,321.40000000000043,223.16666666666688,191.46666666666653,0,0,2.633333333333365,5.09999999999995,0,1.2333333333333485,0.0,0.0,0
2024-09-03,339.33333333333354,804.600000000001,754.9333333333336,190.66666666666612,716.399999999999,641.9333333333336,0.0,0.0,379.1999999999996,312.00000000000045,216.33333333333354,184.5333333333332,0,0,0.8666666666666982,3.3999999999999497,0,0.2666666666666818,0.0,0.0,0
2024-09-04,311.3000000000002,791.3000000000011,748.3000000000003,155.19999999999945,703.6999999999989,633.3000000000003,0.0,0.0,371.59999999999957,302.6000000000005,209.5000000000002,177.59999999999985,0,0,0.0,1.6999999999999498,0,0.0,0.0,0.0,0
2024-09-05,283.2666666666668,778.0000000000011,741.666666666667,119.73333333333278,690.9999999999989,624.666666666667,0.0,0.0,363.99999999999955,293.2000000000005,202.66666666666686,170.66666666666652,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-06,255.2333333333335,764.7000000000012,735.0333333333336,84.26666666666611,678.2999999999988,616.0333333333336,0.0,0.0,356.3999999999995,283.8000000000005,195.8333333333335,163.73333333333318,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-07,227.20000000000016,751.4000000000012,728.4000000000003,48.79999999999944,665.5999999999988,607.4000000000003,0.0,0.0,348.7999999999995,274.40000000000055,189.00000000000017,156.79999999999984,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-08,199.16666666666683,738.1000000000013,721.766666666667,13.333333333332774,652.8999999999987,598.766666666667,0.0,0.0,341.1999999999995,265.00000000000057,182.16666666666683,149.8666666666665,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-09,171.1333333333335,724.8000000000013,715.1333333333337,0.0,640.1999999999987,590.1333333333337,0.0,0.0,333.59999999999945,255.60000000000056,175.33333333333348,142.93333333333317,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-10,143.10000000000016,711.5000000000014,708.5000000000003,0.0,627.4999999999986,581.5000000000003,0.0,0.0,325.99999999999943,246.20000000000056,168.50000000000014,135.99999999999983,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-11,115.06666666666683,698.2000000000014,701.866666666667,0.0,614.7999999999986,572.866666666667,0.0,0.0,318.3999999999994,236.80000000000055,161.6666666666668,129.0666666666665,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-12,87.0333333333335,684.9000000000015,695.2333333333337,0.0,602.0999999999985,564.2333333333337,0.0,0.0,310.7999999999994,227.40000000000055,154.83333333333346,122.13333333333316,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-13,59.00000000000017,671.6000000000015,688.6000000000004,0.0,589.3999999999985,555.6000000000004,0.0,0.0,303.19999999999936,218.00000000000054,148.0000000000001,115.19999999999982,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-14,30.966666666666836,658.3000000000015,681.966666666667,0.0,576.6999999999985,546.966666666667,0.0,0.0,295.59999999999934,208.60000000000053,141.16666666666677,108.26666666666648,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-15,2.9333333333335005,645.0000000000016,675.3333333333337,0.0,563.9999999999984,538.3333333333337,0.0,0.0,287.9999999999993,199.20000000000053,134.33333333333343,101.33333333333314,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-16,0.0,631.7000000000016,668.7000000000004,0.0,551.2999999999984,529.7000000000004,0.0,0.0,280.3999999999993,189.80000000000052,127.5000000000001,94.3999999999998,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-17,0.0,618.4000000000017,662.0666666666671,0.0,538.5999999999983,521.0666666666671,0.0,0.0,272.7999999999993,180.40000000000052,120.66666666666677,87.46666666666647,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-18,0.0,605.1000000000017,655.4333333333337,0.0,525.8999999999983,512.4333333333337,0.0,0.0,265.19999999999925,171.0000000000005,113.83333333333344,80.53333333333313,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-19,0.0,591.8000000000018,648.8000000000004,0.0,513.1999999999982,503.8000000000004,0.0,0.0,257.5999999999992,161.6000000000005,107.00000000000011,73.5999999999998,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-20,0.0,578.5000000000018,642.1666666666671,0.0,500.49999999999824,495.1666666666671,0.0,0.0,249.99999999999923,152.2000000000005,100.16666666666679,66.66666666666646,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-21,0.0,565.2000000000019,635.5333333333338,0.0,487.79999999999825,486.53333333333376,0.0,0.0,242.39999999999924,142.8000000000005,93.33333333333346,59.73333333333312,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-22,0.0,551.9000000000019,628.9000000000004,0.0,475.09999999999826,477.90000000000043,0.0,0.0,234.79999999999924,133.4000000000005,86.50000000000013,52.799999999999784,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-23,0.0,538.600000000002,622.2666666666671,0.0,462.3999999999983,469.2666666666671,0.0,0.0,227.19999999999925,124.00000000000048,79.6666666666668,45.86666666666645,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-24,0.0,525.300000000002,615.6333333333338,0.0,449.6999999999983,460.6333333333338,0.0,0.0,219.59999999999926,114.60000000000048,72.83333333333347,38.93333333333311,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-25,0.0,512.000000000002,609.0000000000005,0.0,436.9999999999983,452.00000000000045,0.0,0.0,211.99999999999926,105.20000000000047,66.00000000000014,31.999999999999776,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-26,0.0,498.70000000000203,602.3666666666671,0.0,424.2999999999983,443.36666666666713,0.0,0.0,204.39999999999927,95.80000000000047,59.166666666666806,25.066666666666443,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-27,0.0,485.400000000002,595.7333333333338,0.0,411.5999999999983,434.7333333333338,0.0,0.0,196.79999999999927,86.40000000000046,52.33333333333347,18.13333333333311,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-28,0.0,472.100000000002,589.1000000000005,0.0,398.89999999999833,426.1000000000005,0.0,0.0,189.19999999999928,77.00000000000045,45.500000000000135,11.199999999999775,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-29,0.0,458.800000000002,582.4666666666672,0.0,386.19999999999834,417.46666666666715,0.0,0.0,181.59999999999928,67.60000000000045,38.6666666666668,4.266666666666442,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-09-30,0.0,445.500000000002,575.8333333333338,0.0,373.49999999999835,408.8333333333338,0.0,0.0,173.9999999999993,58.20000000000045,31.833333333333467,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-01,0.0,432.200000000002,569.2000000000005,0.0,360.79999999999836,400.2000000000005,0.0,0.0,166.3999999999993,48.80000000000045,25.000000000000135,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-02,0.0,418.90000000000197,562.5666666666672,0.0,348.0999999999984,391.5666666666672,0.0,0.0,158.7999999999993,39.40000000000045,18.166666666666803,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-03,0.0,405.60000000000196,555.9333333333338,0.0,335.3999999999984,382.93333333333385,0.0,0.0,151.1999999999993,30.000000000000455,11.33333333333347,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-04,0.0,392.30000000000194,549.3000000000005,0.0,322.6999999999984,374.3000000000005,0.0,0.0,143.5999999999993,20.600000000000456,4.500000000000138,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-05,0.0,379.00000000000193,542.6666666666672,0.0,309.9999999999984,365.6666666666672,0.0,0.0,135.99999999999932,11.200000000000456,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-06,0.0,365.7000000000019,536.0333333333339,0.0,297.2999999999984,357.03333333333387,0.0,0.0,128.39999999999932,1.8000000000004555,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-07,0.0,352.4000000000019,529.4000000000005,0.0,284.59999999999843,348.40000000000055,0.0,0.0,120.79999999999933,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-08,0.0,339.1000000000019,522.7666666666672,0.0,271.89999999999844,339.7666666666672,0.0,0.0,113.19999999999933,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-09,0.0,325.8000000000019,516.1333333333339,0.0,259.19999999999845,331.1333333333339,0.0,0.0,105.59999999999934,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-10,0.0,312.5000000000019,509.50000000000057,0.0,246.49999999999847,322.50000000000057,0.0,0.0,97.99999999999935,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-11,0.0,299.20000000000186,502.86666666666724,0.0,233.79999999999848,313.86666666666724,0.0,0.0,90.39999999999935,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-12,0.0,285.90000000000185,496.2333333333339,0.0,221.0999999999985,305.2333333333339,0.0,0.0,82.79999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-13,0.0,272.60000000000184,489.6000000000006,0.0,208.3999999999985,296.6000000000006,0.0,0.0,75.19999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-14,0.0,259.30000000000183,482.96666666666727,0.0,195.6999999999985,287.96666666666727,0.0,0.0,67.59999999999937,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-15,0.0,246.00000000000182,476.33333333333394,0.0,182.99999999999852,279.33333333333394,0.0,0.0,59.99999999999937,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-16,0.0,232.7000000000018,469.7000000000006,0.0,170.29999999999853,270.7000000000006,0.0,0.0,52.399999999999366,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-17,0.0,219.4000000000018,463.0666666666673,0.0,157.59999999999854,262.0666666666673,0.0,0.0,44.799999999999365,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-18,0.0,206.10000000000178,456.43333333333396,0.0,144.89999999999856,253.43333333333396,0.0,0.0,37.19999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-19,0.0,192.80000000000177,449.80000000000064,0.0,132.19999999999857,244.80000000000064,0.0,0.0,29.599999999999362,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-20,0.0,179.50000000000176,443.1666666666673,0.0,119.49999999999856,236.1666666666673,0.0,0.0,21.99999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-21,0.0,166.20000000000175,436.533333333334,0.0,106.79999999999856,227.53333333333399,0.0,0.0,14.39999999999936,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-22,0.0,152.90000000000174,429.90000000000066,0.0,94.09999999999856,218.90000000000066,0.0,0.0,6.799999999999361,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-23,0.0,139.60000000000173,423.26666666666733,0.0,81.39999999999856,210.26666666666733,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-24,0.0,126.30000000000173,416.633333333334,0.0,68.69999999999855,201.633333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
2024-10-25,0.0,113.00000000000173,410.0000000000007,0.0,55.99999999999855,193.00000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0
